epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,409.428,0.46804,4.20255,0.01131,0.00449,1,0.79025,0.69129,0.57269,10.6177,0.02357,0.00049657,0.00049657,0.00049657
44,418.734,0.53716,3.86169,0.01127,0.0201,1,0.89896,0.80679,0.49251,10.2866,0.01987,0.000499641,0.000499641,0.000499641
45,427.872,0.52729,4.07289,0.01158,0.0201,1,0.89896,0.80679,0.49251,10.2866,0.01987,0.000502316,0.000502316,0.000502316
46,437.178,0.44437,3.98577,0.01145,0.66272,0.53333,0.90899,0.82617,0.49893,10.0479,0.01986,0.000504595,0.000504595,0.000504595
47,446.562,0.50624,4.2174,0.01193,0.66272,0.53333,0.90899,0.82617,0.49893,10.0479,0.01986,0.000506478,0.000506478,0.000506478
48,455.859,0.53573,3.96029,0.01172,0.75072,0.53333,0.91302,0.84624,0.50702,9.85329,0.02075,0.000507965,0.000507965,0.000507965
49,464.818,0.52464,3.79202,0.0121,0.75072,0.53333,0.91302,0.84624,0.50702,9.85329,0.02075,0.000509056,0.000509056,0.000509056
50,473.914,0.44129,3.88748,0.01016,0.74061,0.57613,0.92664,0.81299,0.68841,9.92388,0.02965,0.000509751,0.000509751,0.000509751
51,483.099,0.51661,4.39951,0.01252,0.74061,0.57613,0.92664,0.81299,0.68841,9.92388,0.02965,0.000505,0.000505,0.000505
52,494.793,0.54789,3.90155,0.01338,0.72178,0.6,0.90573,0.80018,0.59356,9.66777,0.02494,0.0004951,0.0004951,0.0004951
53,508.228,0.63483,3.87086,0.01453,0.72178,0.6,0.90573,0.80018,0.59356,9.66777,0.02494,0.0004852,0.0004852,0.0004852
54,521.104,0.51455,3.77809,0.01293,0.73154,0.6,0.94423,0.86654,0.48587,9.41974,0.02049,0.0004753,0.0004753,0.0004753
55,533.8,0.46734,3.55386,0.01041,0.73154,0.6,0.94423,0.86654,0.48587,9.41974,0.02049,0.0004654,0.0004654,0.0004654
56,544.016,0.5095,3.74161,0.01069,0.84723,0.57723,0.94314,0.84915,0.56222,9.34604,0.02252,0.0004555,0.0004555,0.0004555
57,553.181,0.49466,3.62585,0.01099,0.84723,0.57723,0.94314,0.84915,0.56222,9.34604,0.02252,0.0004456,0.0004456,0.0004456
58,562.739,0.47768,3.90208,0.01058,0.84021,0.58746,0.94065,0.83552,0.62272,9.20839,0.02316,0.0004357,0.0004357,0.0004357
59,572.276,0.55833,3.42029,0.01238,0.84021,0.58746,0.94065,0.83552,0.62272,9.20839,0.02316,0.0004258,0.0004258,0.0004258
60,581.992,0.55669,3.7696,0.01333,0.8133,0.6,0.94138,0.85357,0.55628,9.02283,0.01988,0.0004159,0.0004159,0.0004159
61,591.247,0.56273,4.10613,0.01391,0.8133,0.6,0.94138,0.85357,0.55628,9.02283,0.01988,0.000406,0.000406,0.000406
62,600.72,0.53039,3.42053,0.01235,0.81035,0.8,0.94065,0.84222,0.58379,8.95718,0.02147,0.0003961,0.0003961,0.0003961
63,609.852,0.54373,3.61544,0.01255,0.81035,0.8,0.94065,0.84222,0.58379,8.95718,0.02147,0.0003862,0.0003862,0.0003862
64,619.459,0.44499,3.47593,0.01089,0.79658,0.8,0.94065,0.78756,0.77508,9.14042,0.03302,0.0003763,0.0003763,0.0003763
65,628.734,0.48361,3.64227,0.01178,0.79658,0.8,0.94065,0.78756,0.77508,9.14042,0.03302,0.0003664,0.0003664,0.0003664
66,638.407,0.49002,3.51272,0.01076,0.70454,0.73333,0.92415,0.75613,0.86453,9.14032,0.03807,0.0003565,0.0003565,0.0003565
67,647.765,0.52363,3.15767,0.01212,0.70454,0.73333,0.92415,0.75613,0.86453,9.14032,0.03807,0.0003466,0.0003466,0.0003466
68,657.153,0.55156,3.39195,0.01413,0.63757,0.73333,0.92415,0.75552,0.83944,9.01976,0.03708,0.0003367,0.0003367,0.0003367
69,666.432,0.57279,3.40537,0.0139,0.63757,0.73333,0.92415,0.75552,0.83944,9.01976,0.03708,0.0003268,0.0003268,0.0003268
70,675.926,0.57016,3.34683,0.01224,0.68388,0.73333,0.92415,0.77904,0.89853,8.82465,0.03782,0.0003169,0.0003169,0.0003169
71,685.245,0.52525,3.22937,0.01077,0.68388,0.73333,0.92415,0.77904,0.89853,8.82465,0.03782,0.000307,0.000307,0.000307
72,694.755,0.50471,3.72426,0.01233,0.60004,0.73333,0.92415,0.802,0.81286,8.594,0.03343,0.0002971,0.0002971,0.0002971
73,704.274,0.48389,3.27558,0.01094,0.60004,0.73333,0.92415,0.802,0.81286,8.594,0.03343,0.0002872,0.0002872,0.0002872
74,713.746,0.5424,3.70652,0.01317,0.57988,0.93333,0.94,0.82043,0.74321,8.38112,0.02954,0.0002773,0.0002773,0.0002773
